,team,wins,losses,season
0,Manchester United,28.0,5.0,2006-2007
1,Manchester United,27.0,5.0,2007-2008
2,Manchester United,28.0,4.0,2008-2009
3,Manchester United,27.0,7.0,2009-2010
4,Manchester United,23.0,4.0,2010-2011
5,Manchester United,28.0,5.0,2011-2012
6,Manchester United,28.0,5.0,2012-2013
7,Manchester United,19.0,12.0,2013-2014
8,Manchester United,20.0,8.0,2014-2015
9,Manchester United,19.0,10.0,2015-2016
10,Manchester United,18.0,5.0,2016-2017
11,Manchester United,25.0,7.0,2017-2018
12,Manchester United,19.0,10.0,2018-2019
13,Manchester United,18.0,8.0,2019-2020
14,Manchester United,25.0,4.0,2020-2021
